dteday,hr,weathersit,temp,atemp,hum,windspeed,casual,cnt
2011-01-01,1,1,0.22,0.2727,0.8,0.0,8,0.04
2011-01-01,2,1,0.22,0.2727,0.8,0.0,5,0.031794871794871796
2011-01-01,4,1,0.24,0.2879,0.75,0.0,0,0.0
2011-01-01,6,1,0.22,0.2727,0.8,0.0,2,0.0010256410256410256
2011-01-01,7,1,0.2,0.2576,0.86,0.0,1,0.0020512820512820513
2011-01-01,9,1,0.32,0.3485,0.76,0.0,8,0.013333333333333334
2011-01-01,10,1,0.38,0.3939,0.76,0.2537,12,0.035897435897435895
2011-01-01,11,1,0.36,0.3333,0.81,0.2836,26,0.05641025641025641
2011-01-01,12,1,0.42,0.4242,0.77,0.2836,29,0.08512820512820513
2011-01-01,13,2,0.46,0.4545,0.72,0.2985,47,0.09538461538461539
2011-01-01,16,2,0.42,0.4242,0.82,0.2985,41,0.09435897435897436
2011-01-01,18,3,0.42,0.4242,0.88,0.2537,9,0.03487179487179487
2011-01-01,21,2,0.4,0.4091,0.87,0.1939999999999999,3,0.033846153846153845
2011-01-01,22,2,0.4,0.4091,0.94,0.2239,11,0.027692307692307693
2011-01-01,23,2,0.46,0.4545,0.88,0.2985,15,0.038974358974358976
2011-01-02,0,2,0.46,0.4545,0.88,0.2985,4,0.01641025641025641
2011-01-02,1,2,0.44,0.4394,0.94,0.2537,1,0.01641025641025641
2011-01-02,2,2,0.42,0.4242,1.0,0.2836,1,0.008205128205128205
2011-01-02,4,2,0.46,0.4545,0.94,0.1939999999999999,2,0.0020512820512820513
2011-01-02,6,3,0.42,0.4242,0.77,0.2985,0,0.0010256410256410256
2011-01-02,9,2,0.38,0.3939,0.76,0.2239,1,0.019487179487179488
2011-01-02,14,3,0.36,0.3485,0.76,0.1939999999999999,4,0.059487179487179485
2011-01-02,15,3,0.34,0.3333,0.81,0.1642,19,0.07487179487179488
2011-01-02,17,1,0.34,0.3333,0.57,0.1939999999999999,7,0.06564102564102564
2011-01-02,19,1,0.32,0.2879,0.42,0.4478,1,0.029743589743589743
2011-01-02,21,1,0.26,0.2273,0.44,0.3284,11,0.03076923076923077
2011-01-02,22,1,0.24,0.2121,0.44,0.2985,0,0.008205128205128205
2011-01-03,1,1,0.2,0.1667,0.44,0.4179,0,0.0010256410256410256
2011-01-03,4,1,0.16,0.1364,0.47,0.3881,0,0.0
2011-01-03,6,1,0.14,0.1061,0.5,0.3881,0,0.029743589743589743
2011-01-03,7,1,0.14,0.1364,0.5,0.1939999999999999,1,0.06461538461538462
2011-01-03,8,1,0.14,0.1212,0.5,0.2836,1,0.15692307692307692
2011-01-03,10,1,0.18,0.1667,0.43,0.2537,11,0.0441025641025641
2011-01-03,11,1,0.2,0.1818,0.4,0.3284,10,0.05128205128205128
2011-01-03,13,1,0.24,0.2121,0.35,0.2836,8,0.06153846153846154
2011-01-03,15,1,0.26,0.2424,0.3,0.2537,14,0.07282051282051281
2011-01-03,17,1,0.24,0.2273,0.3,0.2239,11,0.16
2011-01-03,19,1,0.2,0.2576,0.47,0.0,8,0.1117948717948718
2011-01-03,21,1,0.18,0.1969999999999999,0.64,0.1343,3,0.052307692307692305
2011-01-03,22,1,0.14,0.1515,0.69,0.1343,0,0.019487179487179488
2011-01-04,0,1,0.16,0.1818,0.55,0.1045,0,0.0041025641025641026
2011-01-04,2,1,0.14,0.1515,0.63,0.1343,0,0.0
2011-01-04,4,1,0.14,0.1818,0.63,0.0896,0,0.0010256410256410256
2011-01-04,6,1,0.12,0.1515,0.74,0.1045,0,0.035897435897435895
2011-01-04,7,1,0.12,0.1515,0.74,0.1343,2,0.09538461538461539
2011-01-04,8,1,0.14,0.1515,0.69,0.1642,2,0.18256410256410258
