"","govact","posemot","negemot","ideology","age","sex","partyid"
"1",3.6,3.67,4.67,6,61,0,2
"2",5,2,2.33,2,55,0,1
"3",6.6,2.33,3.67,1,85,1,1
"4",1,5,5,1,59,0,1
"5",4,2.33,1.67,4,22,1,1
"6",7,1,6,3,34,0,2
"7",6.8,2.33,4,4,47,1,1
"8",5.6,4,5.33,5,65,1,1
"9",6,5,6,4,50,1,2
"10",2.6,5,2,7,60,1,3
"11",1.4,1,1,6,71,1,2
"12",5.6,4,4,4,60,0,1
"13",7,1,5,2,71,1,1
"14",3.8,5.67,4.67,4,59,0,1
"15",3.4,3,2,5,32,1,1
"16",4.2,1.67,1,2,36,1,1
"17",1,6,1,6,69,1,2
"18",2.6,4,2.33,4,70,0,3
"19",5.2,3.33,4,2,41,0,1
"20",5.8,1.33,2.67,4,48,0,3
"21",5.4,3.67,5.67,4,38,0,2
"22",5.4,2,5,2,63,1,1
"23",6.4,4.33,2.33,6,71,1,3
"24",5,3,4.67,4,71,1,2
"25",5.4,3.67,4.67,4,60,1,1
"26",5.8,3.67,5.67,3,76,1,1
"27",3.6,4,3.33,4,58,1,1
"28",4.6,4.67,3.33,5,71,0,3
"29",5.2,2.33,3,4,63,0,1
"30",3.8,4.33,1.33,5,79,1,1
"31",4.2,2.33,4.33,4,68,0,1
"32",3.4,2.33,2.33,2,32,1,1
"33",2.2,2.67,5,7,76,1,3
"34",5.2,2,6,5,50,0,2
"35",5.2,4,3.67,4,72,0,2
"36",4,3.67,2.33,4,51,1,2
"37",7,3.67,5.33,4,60,1,1
"38",1,4,1,7,76,1,3
"39",5.4,1.33,3.33,3,34,0,1
"40",4.8,5,5.33,4,51,0,2
"41",6,4,3,3,49,0,1
"42",3.6,1.67,2,5,58,0,3
"43",5.2,4,5,2,45,0,1
"44",3.8,3.67,4.33,4,57,1,3
"45",4.8,3,3,5,46,0,3
"46",2.4,4.67,1.33,5,69,1,3
"47",6,5,1.67,5,70,0,3
"48",4.8,2.67,3,6,69,0,3
"49",4.6,1,3,4,58,1,1
"50",4,3,2,5,80,1,3
"51",3.4,1.67,2.67,6,64,1,3
"52",1,1,1,7,42,1,3
"53",3.6,3.33,1.67,6,71,1,3
"54",4.6,3,3.67,6,40,1,3
"55",4,4,3.33,1,43,0,1
"56",4.6,2,2,2,44,0,1
"57",5,4,3,4,40,0,1
"58",4.6,4.67,3.33,3,77,1,3
"59",3.4,1,5.33,5,73,1,2
"60",5.6,1.67,5.33,5,63,1,2
"61",6.4,2,4,3,47,0,1
"62",3.8,2,2,4,41,0,3
"63",5.8,3.33,4,2,64,1,1
"64",4.6,4,3,4,57,0,2
"65",4.4,4,3,4,41,0,3
"66",3.8,2.67,1.33,6,43,0,3
"67",1,2.67,1.67,6,52,1,3
"68",5.6,1,3,4,37,0,2
"69",3.6,1,1,2,68,0,1
"70",6.8,4.67,4,4,60,0,3
"71",7,5,4.67,1,40,1,1
"72",5.2,3.67,4.33,6,72,1,2
"73",5.8,2.67,4,2,57,1,1
"74",6.6,2,4.67,2,85,1,1
"75",5.2,2.33,3.33,3,52,0,1
"76",4,2.67,3.33,1,55,1,2
"77",5.4,1,4.33,4,42,0,3
"78",5,3.67,4.67,3,34,1,1
"79",2.2,1,1,4,40,0,2
"80",4.4,1.33,4,6,55,0,3
"81",3.6,3,3,5,73,1,2
"82",6,3.33,5.33,4,67,0,1
